//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	PkDropItem	DeathGate   	Comment
0         *       16          100              100            1000              0                 0                1              0             1            	1		1		1		17		"Lorencia"
1         *       16          100              100            1000              0                 0                1              0             1            	0		1		1		17		"Dungeon"
40        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		402		"Silent"
41        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		256		"Barracks"
42        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		256		"Refuge"
45        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 1"
46        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 2"
47        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 3"
48        *       16          100              100            1000              0                 0                1              0           	0            	0		0		0		17		"Illusion Temple 4"
49        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 5"
50        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		17		"Illusion Temple 6"
51        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		267		"Elbeland"
52        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Blood Castle 8"
53        *       16          100              100            1000              0                 0                0              0            	0            	0		0		0		17		"Chaos Castle 7"
56        *       16          100              100            1000              0                 0                1              0           	1            	0		1		1		273		"Swamp of Calmness"
57        *       16          100              100            1000              0                 1                1              0            	1            	0		1		1		286		"Raklion 1"
58        *       16          100              100            1000              0                 1                1              0            	1            	0		1		1		286		"Raklion 2"
62        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		22		"Santa Town"
63        *       16          100              100            1000              0                 0                1              1            	1            	0		1		1		294		"Vulcanus"
64        *       16          100              100            1000              0                 0                0              0            	0            	0		0		0		294		"Duel Arena"
65        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 1"
66        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 2"
67        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 3"
68        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		267		"Double Goer 4"
69        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 1"
70        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 2"
71        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 3"
72        *       16          100              100            1000              0                 0                1              0            	0            	0		0		0		22		"Imperial Guardian 4"
79        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		333		"Loren Market"
80        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		335		"Karutan 1"
81        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		335		"Karutan 2"
82        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		500		"Arkania"
83        *       16          100              100            1000              0                 0                1              0           	1            	0		1		1		501		"New Arena"
84        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		502		"Abuss"
85        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		503		"Dunes"
86        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		504		"Acheron"
87        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		505		"Dream Land"
88        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		506		"New Map 1"
89        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		507		"New Map 2"
90        *       16          100              100            1000              0                 0                1              0            	1            	0		1		1		508		"New Map 3"
end
